2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_1c.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_10d.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_0d.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_4d.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_1c.mp4 分辨率不合格: 1080x1080 < 1920x1080
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_10d.mp4 分辨率不合格: 1080x1080 < 1920x1080
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_4d.mp4 分辨率不合格: 1080x1080 < 1920x1080
2025-08-06 16:39:08 | WARNING | video_processing.pipeline:process_single_video:122 | 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_1c.mp4 分辨率过滤未通过
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_2d.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | WARNING | video_processing.pipeline:process_single_video:122 | 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_10d.mp4 分辨率过滤未通过
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_22d.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | WARNING | video_processing.pipeline:process_single_video:122 | 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_4d.mp4 分辨率过滤未通过
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_17c.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_2d.mp4 分辨率不合格: 1080x1080 < 1920x1080
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_22d.mp4 分辨率不合格: 1080x1080 < 1920x1080
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_17c.mp4 分辨率不合格: 1080x1080 < 1920x1080
2025-08-06 16:39:08 | WARNING | video_processing.pipeline:process_single_video:122 | 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_2d.mp4 分辨率过滤未通过
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_19c.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | WARNING | video_processing.pipeline:process_single_video:122 | 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_22d.mp4 分辨率过滤未通过
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_8d.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | WARNING | video_processing.pipeline:process_single_video:122 | 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_17c.mp4 分辨率过滤未通过
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_13c.mp4
2025-08-06 16:39:08 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_19c.mp4 分辨率不合格: 1080x1080 < 1920x1080
2025-08-06 16:39:08 | WARNING | video_processing.filters.resolution_filter:check_resolution:75 | ✗ 视频 rawdata/test/t_f7d46bbe-723b-421f-b33c-f19084d332b6_8d.mp4 分辨率不合格: 1080x1080 < 1920x1080
